internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
63576,Polycyathus isabela,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,CARYOPHYLLIIDAE,Polycyathus,isabela,,,,,"Wells, 1982",
63577,Dendrophyllia johnsoni,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Dendrophyllia,johnsoni,,,,,"Cairns, 1991",
8262,Eunicella verrucosa,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,PLEXAURIDAE,Eunicella,verrucosa,,,,,"(Pallas, 1766)",
50020625,Clavularia carpediem,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,CORNULARIIDAE,Clavularia,carpediem,,,,,"Weinberg, 1986",
50020621,Clavularia crassa,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,CORNULARIIDAE,Clavularia,crassa,,,,,"(Milne Edwards, 1848)",
50011071,Maasella edwardsii,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,PARALCYONIIDAE,Maasella,edwardsii,,,,,"(de Lacaze-Duthiers, 1888)",
50012470,Paramuricea macrospina,ANIMALIA,CNIDARIA,ANTHOZOA,MALACALCYONCAEA,PARAMURICEIDAE,Paramuricea,macrospina,,,,,"(Koch, 1882)","The species was firstly described as <em>Muricea macrospina</em> (Koch, 1882) and many times considered as a variety of the red gorgonian (<em>Paramuricea clavata</em>) or misidentified as <em>Paramuricea placomus</em> (Pax &amp; Müller, 1962), but finally accepted as a different species (Carpine &amp; Grasshoff, 1975).<br/><p><br/></p>"
50107293,Bunodeopsis strumosa,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,BOLOCEROIDIDAE,Bunodeopsis,strumosa,,,,,"Andrès, 1881",
50160898,Cladopsammia rolandi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Cladopsammia,rolandi,,,,,"Lacaze-Duthiers, 1897",
50107605,Actinia cari,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Actinia,cari,,,,,"Delle Chiaje, 1822","Some biologist in the past have seen the species as a variety form of <em>A. equine</em> (Pax, 1907) but today it is seen as a separate species by most workers."
50113365,Cribrinopsis crassa,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Cribrinopsis,crassa,,,,,"(Andrès, 1881)",
50148677,Paranemonia cinerea,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Paranemonia,cinerea,,,,,"(Contarini, 1844)",
50148695,Paranemonia vouliagmeniensis,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Paranemonia,vouliagmeniensis,,,,,"Doumenc, England &amp; Chintiroglou, 1987","This species could be considered as a species of the Genus Actinia by some authors (Verena Haussermann, 2003)."
50148787,Segonzactis hartogi,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,CONDYLANTHIDAE,Segonzactis,hartogi,,,,,"Dimitris &amp; Chariton, 2002",
50148930,Phymanthus pulcher,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,PHYMANTHIDAE,Phymanthus,pulcher,,,,,"(Andrès, 1883)",
50016125,Crassophyllum thessalonicae,ANIMALIA,CNIDARIA,ANTHOZOA,PENNATULACEA,PENNATULIDAE,Crassophyllum,thessalonicae,,,,,"Vafidis &amp; Koukouras, 1991",
133388,Pocillopora setchelli,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,setchelli,,,,,"Hoffmeister, 1929","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Pocillopora brevicornis</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=206967"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=206967</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 5Jan2022&#160;<br/><br/></span>"
133407,Pocillopora eydouxi,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,eydouxi,,,,,"Milne Edwards &amp; Haime, 1860","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Pocillopora grandis</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=206958"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=206958</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 5Jan2022</span>"
133607,Goniopora minor,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,minor,,,,,"Crossland, 1952","<span style=""background-color: rgb(255, 255, 0);"">Attention RLU: This species is now considered a synonym of&#160;</span><span style=""background-color: rgb(255, 255, 0);""><em>Goniopora pedunculata</em></span><span style=""background-color: rgb(255, 255, 0);"">. For reference please see WoRMS:&#160;<a href=""http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=207217"">http://www.marinespecies.org/aphia.php?p=taxdetails&amp;id=207217</a></span><span style=""background-color: rgb(255, 255, 0);"">.&#160;</span><span style=""background-color: rgb(255, 255, 0);"">C. Linardich 5Jan2022</span>"
133644,Acropora formosa,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,formosa,,,,,"(Dana, 1846)","There remains some confusion regarding the valid name of this nominal species. In a review of the staghorn corals, Wallace (1999) considered <em>Acropora formosa</em> to be a junior synonym of <em>A. muricata</em>. Currently, <em>A. formosa</em> is not valid in WoRMS (Hoeksema and Cairns 2019) or Corals of the World (Veron <em>et al</em>. 2016). <em>Acropora copiosa</em> is also considered a junior synonym of <em>A. muricata</em> (Hoeksema and Cairns 2020)."
64372284,Epizoanthus tergestinus,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,tergestinus,,,,,"Pax, 1937","<p>Many&#160;<em>Epizoanthus</em>&#160;taxa in the Mediterranean are doubtful. Some studies considers&#160;that <em>Epizoanthus tergestinus</em><span class=""apple-converted-space""><em>&#160;</em></span>could be a synonym of&#160;<em>E.&#160;</em><span class=""apple-converted-space""><em>univittatus</em>&#160;(Lorenz, 1860).</span><span lang=""EN-US""></p><p><span class=""apple-converted-space""></span></p><p><br/></p>"
50161085,Epizoanthus frenzeli,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,frenzeli,,,,,"Pax, 1937",<em>Epizoanthus</em>&#160;species records in the Mediterranean are doubtful and might correspond to&#160;<em>Epizoanthus</em>&#160;<em>arenaceus</em>.
50161091,Epizoanthus paguricola,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,paguricola,,,,,"Roule, 1900",
50161093,Epizoanthus paxii,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,paxii,,,,,"Abel, 1955",
50113293,Condylactis aurantiaca,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Condylactis,aurantiaca,,,,,"(Delle Chiaje, 1825)",
65475413,Epizoanthus univittatus,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,univittatus,,,,,"(Lorenz, 1860)","There is a lack of taxonomic information on the genus <em>Epizoanthus</em>&#160;in the Mediterranean and further taxonomy studies are required, and there is no information to distinguish <em>E. univittatus</em> from the more common species <em>E. </em><em>arenaceus</em>."
65476067,Epizoanthus vagus,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,vagus,,,,,"Herberts, 1972",There is a lack of taxonomic information on the genus <em>Epizoanthus</em> in the Mediterranean and further taxonomic studies are required.
65476258,Arachnanthus oligopodus,ANIMALIA,CNIDARIA,ANTHOZOA,PENICILLARIA,ARACHNACTIDAE,Arachnanthus,oligopodus,,,,,"(Cerfontaine, 1891)",<em>A. oligopodus</em> could be a complex of species and also can be misidentified with <em>A. maderensis.</em>
50161095,Epizoanthus steueri,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,steueri,,,,,"Pax, 1937","Many&#160;<em>Epizoanthus</em>&#160;taxa in the Mediterranean are doubtful. Some studies considers&#160;that&#160;<em>Epizoanthus steueri </em>could be a synonym of&#160;<em>E. vatovai</em> (Pax and Lochter, 1935).<p><br/></p>"
50161089,Epizoanthus mediterraneus,ANIMALIA,CNIDARIA,ANTHOZOA,ZOANTHARIA,EPIZOANTHIDAE,Epizoanthus,mediterraneus,,,,,"Carlgren, 1935",Some&#160;<em>Epizoanthus</em>&#160;species records from the Mediterranean are doubtful and may correspond to&#160;<em>Epizoanthus</em><em>&#160;arenaceus</em>.
50108167,Actinia striata,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINIARIA,ACTINIIDAE,Actinia,striata,,,,,"Risso, 1826","WoRMS (2016) considers <em>Actinia striata </em>Risso, 1826 to be a junior synonym of <em>Paractinia striata</em> (Risso, 1826). However we follow Ocaña <em>et al.</em> (2015) in accepting <em>Actinia striata</em> Risso, 1826&#160;as a valid species.<br/><br/>The species <em>Actinia striata</em> Quoy &amp; Gaimard, 1833 corresponds to a species described from New Zealand (O. Ocaña pers. comm. 2016). However Ottaway (1975) commented that no author subsequent to Quoy &amp; Gaimard has recognised <em>Actinia striata </em>Quoy &amp; Gaimard, 1833, considered it likely that it was probably not an <em>Actinia</em>, and that since <em>Actinia striata&#160;</em>Quoy &amp; Gaimard, 1833, is also a junior primary homonym of <em>Actinia striata</em> Risso, 1826, rejected the name and description of <em>Actinia striata</em> Quoy &amp; Gaimard."
133133,Acropora abrolhosensis,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,abrolhosensis,,,,,"Veron, 1985",
50149061,Ceratotrochus magnaghii,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,CARYOPHYLLIIDAE,Ceratotrochus,magnaghii,,,,,"Cecchini, 1914",
50012660,Spinimuricea klavereni,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,PLEXAURIDAE,Spinimuricea,klavereni,,,,,"(Carpine &amp; Grasshoff, 1975)",There was some misidentification of this genus in the past by Koch where it was described as <em>Paramuricea placomus</em>. Currently there is some debate about being the same species as the Atlantic one <em>Spinimuricea atlantica</em>.
133701,Ctenella chagius,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIIDAE,Ctenella,chagius,,,,,"Matthai, 1928",
133527,Mussismilia harttii,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Mussismilia,harttii,,,,,"(Verrill, 1868)","<span style=""background-color: rgb(255, 255, 255);"">This species was previously placed in the family Mussidae but is now placed under Faviidae (Budd</span><em>&#160;et al.</em><span style=""background-color: rgb(255, 255, 255);"">&#160;2012, Budd&#160;</span><em>et al</em><span style=""background-color: rgb(255, 255, 255);"">. 2019).</span>"
133124,Dendrogyra cylindrus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dendrogyra,cylindrus,,,,,"(Ehrenberg, 1834)",
132859,Oulastrea crispata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,OULASTREIDAE,Oulastrea,crispata,,,,,"(Lamarck, 1816)",
132860,Psammocora stellata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PSAMMOCORIDAE,Psammocora,stellata,,,,,"(Verrill, 1866)",
132861,Goniopora tantillus,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,tantillus,,,,,"(Claereboudt &amp; Al-Amri, 2004)","<span style=""background-color: white;"">This species was previously referred to as&#160;<em style="""">Machadporites tantillus.&#160;</em></span>"
132862,Acropora cophodactyla,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,cophodactyla,,,,,"(Brook, 1892)","According to the WoRMS online database (accessed January 2023), the taxonomic validity of this species is uncertain or disputed by different experts, including Veron <em>et al</em>. (2016). It was suspected to be a synonym of <em>Acropora humilis</em> by Wallace (1999) and it&#160;was not included in the taxonomic revision of&#160;<em>Acropora&#160;</em>species by Wallace&#160;<em>et al.</em>&#160;(2012). Emre&#160;Turak (pers. comm. 2008) examined a photo of the type specimen and does not consider that the name&#160;<em>A. cophodactyla</em>&#160;applies to this species although he considers it distinct from&#160;<em>A. humilis</em>&#160;and it is possibly a new species. It is still considered as valid in Corals of the World despite recognising the dissimilarity between the holotype and the images. It is also considered as valid in Sealife database. Further detailed study is warranted and may indicate that this species should be given a new name."
132864,Cycloseris costulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Cycloseris,costulata,,,,,"(Ortmann, 1889)","For additional taxonomic information, please refer to Gittenberger and Hoeksema (2006)."
132865,Alveopora japonica,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Alveopora,japonica,,,,,"Eguchi, 1965","The complete mitogenome of this species is 17,886 bp with 13 protein-coding, two rRNA, and two tRNA genes, and this supports the transfer of this species to the family Acroporidae (Cho <em>et al</em>. 2018)."
132866,Montipora angulata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,angulata,,,,,"(Lamarck, 1816)",
132867,Acropora pectinata,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pectinata,,,,,"Veron, 2000","According to the revision of <em>Acropora </em>species by Wallace&#160;<em>et al</em>. (2012), this species is a synonym of&#160;<em>Acropora acuminata</em>. It is a distinct species according to (Veron <em>et al.</em> 2016) and it is accepted as valid in the WoRMS online database (accessed January 2023). This species should be valid as <em>Acropora pectinatus</em> (L. DeVantier pers. comm. 2024)."
132868,Goniastrea columella,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Goniastrea,columella,,,,,"Crossland, 1948",
132869,Acropora florida,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,florida,,,,,"(Dana, 1846)",Taxonomic work is currently underway for this species (L. DeVantier pers. comm. 2024).
