accession_id,included,Title,Authors,Year,DOI,inclusion_summary,passed_screening,screened_fail_stage,full_text_available,passed_inclusion_criteria,criteria_failed,criteria_fail_reason,Database.ID,Source.title,Document.Type,Cited
A_1127,N,Do currents shape global patterns of hybrid richness in reef fishes?,"Ng, Isabelle; Bellwood, David R.; Siqueira, Alexandre C.",2022,10.1111/geb.13592,screened_by_title,N,title,NA,NA,NA,NA,WOS:000865295400001,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Article,2
A_1128,N,Temporal variation in the early life-history characteristics of the King George whiting (Sillaginodes punctata) from analysis of otolith microstructure,"Fowler, AJ; Short, DA",1996,10.1071/MF9960809,screened_by_title,N,title,NA,NA,NA,NA,WOS:A1996VP33300005,MARINE AND FRESHWATER RESEARCH,Article,29
A_1129,N,"Diversity, Stability and Connectivity of Symbiodinium Populations at Various Spatial Scales","Pettay, Daniel T.",2011,,screened_by_title,N,title,NA,NA,NA,NA,PQDT:68573472,,Dissertation/Thesis,0
A_1130,N,Delayed metamorphosis of a tropical reef fish (Acanthurus triostegus):: a field experiment,"McCormick, MI",1999,10.3354/meps176025,screened_by_title,N,title,NA,NA,NA,NA,WOS:000078918200004,MARINE ECOLOGY PROGRESS SERIES,Article,112
A_1131,N,The Southwestern Indian Ocean as a potential marine evolutionary hotspot: perspectives from comparative phylogeography of reef brittle-stars,"Hoareau, Thierry B.; Boissin, Emilie; Paulay, Gustav; Bruggemann, J. Henrich",2013,10.1111/jbi.12155,screened_by_title,N,title,NA,NA,NA,NA,WOS:000328943000012,JOURNAL OF BIOGEOGRAPHY,Article,59
A_1132,N,Climatic forcing and larval dispersal capabilities shape the replenishment of fishes and their habitat-forming biota on a tropical coral reef,"Wilson, Shaun K.; Depcyznski, Martial; Fisher, Rebecca; Holmes, Thomas H.; Noble, Mae M.; Radford, Ben T.; Rule, Michael; Shedrawi, George; Tinkler, Paul; Fulton, Christopher J.",2018,10.1002/ece3.3779,screened_by_title,N,title,NA,NA,NA,NA,WOS:000423807900043,ECOLOGY AND EVOLUTION,Article,25
A_1133,N,TRANSPORT MECHANISMS AND THE POTENTIAL MOVEMENT OF PLANKTONIC LARVAE IN THE CENTRAL REGION OF THE GREAT BARRIER-REEF,"WILLIAMS, DM; WOLANSKI, E; ANDREWS, JC",1984,10.1007/BF00288259,excluded_criteria_2,Y,NA,Y,N,2,non_coral_specific,WOS:A1984AAP2200008,CORAL REEFS,Article,158
A_1134,N,"Comparative Demography of a Coral Reef Fish: Vertical and Horizontal Spatial Variability in Bicolor Damselfish (Stegastes partitus) Traits, Survival, and Reproduction","Goldstein, Esther Diane",2015,,screened_by_title,N,title,NA,NA,NA,NA,PQDT:68855689,,Dissertation/Thesis,0
A_1135,N,Early life histories of slipper lobsters.,"Sekiguchi, Hideo; Booth, John D.; Webber, W. Richard",2007,,screened_by_title,N,title,NA,NA,NA,NA,ZOOREC:ZOOR14306039771,Crustacean Issues,Article,27
A_1136,N,"From the Reef to the Ocean: Revealing the Acoustic Range of the Biophony of a Coral Reef (Moorea Island, French Polynesia)","Raick, Xavier; Di Iorio, Lucia; Gervaise, Cedric; Lossent, Julie; Lecchini, David; Parmentier, Eric",2021,10.3390/jmse9040420,screened_by_title,N,title,NA,NA,NA,NA,WOS:000643111200001,JOURNAL OF MARINE SCIENCE AND ENGINEERING,Article,14
A_1137,Y,New evidence of Melithaea erythraea colonization in the Mediterranean,"Grossowicz, Michal; Shemesh, Eli; Martinez, Stephane; Benayahu, Yehuda; Tchernov, Dan",2020,10.1016/j.ecss.2020.106652,included,Y,NA,Y,Y,NA,NA,WOS:000527916100014,ESTUARINE COASTAL AND SHELF SCIENCE,Article,7
A_1139,N,Transmission distance of chemical cues from coral habitats: implications for marine larval settlement in context of reef degradation,"Lecchini, David; Miura, Takahiro; Lecellier, Gael; Banaigs, Bernard; Nakamura, Yohei",2014,10.1007/s00227-014-2451-5,screened_by_abstract,N,abstract,NA,NA,NA,NA,WOS:000338285300018,MARINE BIOLOGY,Article,25
A_1140,N,New expansions in old clades:: population genetics and phylogeny of Gnatholepis species (Teleostei: Gobioidei) in the Pacific,"Thacker, Christine E.; Thompson, Andrew R.; Roje, Dawn M.; Shaw, Emily Y.",2008,10.1007/s00227-007-0814-x,screened_by_title,N,title,NA,NA,NA,NA,WOS:000251488200014,MARINE BIOLOGY,Article,15
A_1141,N,Propagule redirection: Habitat availability reduces colonization and increases recruitment in reef fishes,"Stier, Adrian C.; Osenberg, Craig W.",2010,10.1890/09-1993.1,screened_by_title,N,title,NA,NA,NA,NA,WOS:000282654700003,ECOLOGY,Article,36
A_1142,N,Experimental infestation of Gallus gallus with Ornithodoros (Alectorobius) amblus (Ixodoidea: Argasidae),"Schumaker, TTS; Mori, CMC; Ferreira, CS",1997,10.1093/jmedent/34.5.521,screened_by_title,N,title,NA,NA,NA,NA,WOS:A1997YA22200005,JOURNAL OF MEDICAL ENTOMOLOGY,Article,5
A_1143,N,"Ice, Ice, Babies! The role of periodic and catastrophic ice loss on species connectivity in polar systems.",,2023,,excluded_criteria_1,Y,NA,Y,N,1,G,GRANTS:17612584,,Awarded Grant,0
A_1144,N,The role of individual variation in marine larval dispersal,"Nanninga, Gerrit B.; Berumen, Michael L.",2014,10.3389/fmars.2014.00071,excluded_criteria_1,Y,NA,Y,N,1,Review,WOS:000485310600068,FRONTIERS IN MARINE SCIENCE,Review,36
A_1146,Y,Genetic structure and diversity of the mustard hill coral Porites astreoides along the Florida Keys reef tract,"Gallery, Dominique N.; Green, Michelle L.; Kuffner, Ilsa B.; Lenz, Elizabeth A.; Toth, Lauren T.",2021,10.1007/s12526-021-01196-7,included,Y,NA,Y,Y,NA,NA,WOS:000671563300001,MARINE BIODIVERSITY,Article,5
